Timestamp;CO2_eq (ppm);TVOC (ppb);TempIn_1 (°C);HumIn_1 (%);TempIn_2 (°C);HumIn_2 (%);TempOut (°C);HumOut (%);Pressure (hPa);Light (-);BeeIn (-);BeeOut (-)
22.07.27 21:13:45;400;0;22.00;75.00;21.00;75.00;18.41;67.11;988.61;4;0;0
22.07.27 21:28:45;442;164;23.00;78.00;21.00;76.00;18.28;67.00;988.78;1;0;0
22.07.27 21:43:45;400;44;23.00;78.00;21.00;76.00;18.10;67.53;988.98;0;0;0
22.07.27 21:58:45;400;79;23.00;71.00;21.00;70.00;17.92;67.92;989.22;0;0;0
22.07.27 22:13:45;400;13;23.00;68.00;20.00;62.00;17.77;68.22;989.35;0;0;0
22.07.27 22:28:46;400;0;23.00;68.00;20.00;63.00;17.65;68.80;989.53;0;0;0
22.07.27 22:43:46;400;47;22.00;67.00;20.00;60.00;17.46;69.25;989.72;0;0;0
22.07.27 22:58:46;400;0;23.00;69.00;20.00;70.00;17.19;70.69;989.70;0;0;0
22.07.27 23:13:46;400;80;22.00;65.00;20.00;60.00;16.94;70.79;989.76;0;0;0
22.07.27 23:28:46;400;246;22.00;65.00;19.00;61.00;16.74;70.55;989.83;0;0;0
22.07.27 23:43:46;400;220;22.00;71.00;19.00;62.00;16.60;71.44;989.96;0;0;0
22.07.27 23:58:46;400;127;22.00;69.00;19.00;62.00;16.54;72.67;990.14;0;0;0
22.07.28 00:13:46;467;388;22.00;67.00;19.00;63.00;16.50;72.81;990.28;0;0;0
22.07.28 00:28:46;1502;1068;22.00;72.00;20.00;70.00;16.64;76.38;990.37;0;0;0
22.07.28 00:43:46;400;254;22.00;80.00;20.00;64.00;16.40;73.71;990.41;0;0;0
22.07.28 00:58:46;610;652;22.00;73.00;20.00;75.00;16.20;73.77;990.38;0;0;0
22.07.28 01:13:46;629;571;22.00;80.00;20.00;75.00;15.81;76.23;990.31;0;0;0
22.07.28 01:28:46;911;825;22.00;81.00;20.00;84.00;15.93;74.54;990.29;0;0;0
22.07.28 01:43:46;1296;1060;22.00;79.00;19.00;71.00;15.44;75.56;990.28;0;0;0
22.07.28 01:58:46;510;455;22.00;81.00;19.00;73.00;15.66;75.05;990.32;0;0;0
22.07.28 02:13:47;742;673;22.00;77.00;19.00;67.00;15.72;74.04;990.36;0;0;0
22.07.28 02:28:47;540;532;21.00;78.00;19.00;69.00;15.74;73.78;990.40;0;0;0
22.07.28 02:43:47;1314;1068;21.00;78.00;19.00;67.00;15.71;75.45;990.35;0;0;0
22.07.28 02:58:47;1346;1108;21.00;83.00;19.00;87.00;15.65;77.10;990.38;0;0;0
22.07.28 03:13:47;1210;1074;21.00;84.00;19.00;87.00;15.44;76.45;990.49;0;0;0
22.07.28 03:28:47;985;1014;21.00;84.00;19.00;76.00;15.38;78.11;990.62;0;0;0
22.07.28 03:43:47;1628;1342;21.00;84.00;19.00;77.00;15.42;77.41;990.71;0;0;0
22.07.28 03:58:47;1205;1183;21.00;88.00;19.00;82.00;15.51;79.90;990.81;0;0;0
22.07.28 04:13:47;1681;1432;21.00;85.00;19.00;81.00;15.27;78.93;990.75;0;0;0
