,CO2_eq (ppm),TVOC (ppb),TempIn_1 (°C),HumIn_1 (%),TempIn_2 (°C),HumIn_2 (%),TempOut (°C),HumOut (%),Pressure (hPa),Light (-),BeeIn (-),BeeOut (-)
0,400,0,22.0,75.0,21.0,75.0,18.41,67.11,988.61,4,0,0
78,400,344,34.0,34.0,32.0,38.0,36.31,32.1,989.32,640,0,0
193,3181,952,26.0,65.0,25.0,59.0,19.95,83.45,988.27,0,0,0
195,3291,948,26.0,72.0,25.0,71.0,19.64,86.84,987.73,0,0,0
221,2872,853,21.0,84.0,20.0,87.0,16.87,95.07,985.67,0,0,0
227,811,207,20.0,19.0,19.0,91.0,16.85,94.95,985.49,614,0,0
236,2254,684,21.0,92.0,20.0,82.0,19.29,91.07,985.38,618,0,0
238,727,194,22.0,90.0,21.0,82.0,19.3,91.28,985.38,620,44,275
239,1015,280,22.0,85.0,21.0,81.0,19.39,90.68,985.36,619,15,27
240,427,137,22.0,83.0,21.0,91.0,19.1,90.29,985.16,620,9,10
244,507,193,22.0,85.0,22.0,82.0,20.97,85.89,985.06,620,9,24
245,490,194,23.0,85.0,22.0,81.0,21.48,84.74,985.02,621,9,25
246,400,63,23.0,83.0,22.0,81.0,21.68,83.18,984.97,623,0,13
